"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"94","杉山手南公園","34.81460602","135.7224329","枚方市杉山手３丁目１５−１６","1500.00","0.15","","","","1","1","","","","","","","1","","1","1","","","","1","11","","","","4","0","0","0","0","0","0","4","",""
"95","須山中央公園","34.82151374","135.67175","枚方市須山町１８−１５","909.78","0.091","","","","1","1","","","","","","","","","1","","","","","1","5","","","","14","0","0","0","0","0","0","14","",""
"96","須山公園","34.82152014","135.6717505","枚方市須山町１８−１５","1.201.22","0.12","","2","","","1","","","1","","","","1","","","1","","","","1","5","","","","0","0","0","0","1","0","0","1","",""
"97","創造の森","34.79046992","135.6370984","枚方市香里園山之手町４９−５","4584.11","0.458","","","","","","","","","","","","","","","","","","","","2","","","","10","0","0","1","0","0","0","11","",""
"98","宗谷公園","34.79770293","135.7369251","枚方市宗谷２丁目１７−９","1141.75","0.114","","","","","1","","1","","","","","","","1","","","1","","1","9","","","","","","","","","","","","",""
"99","宗谷穂谷防災公園","34.79588538","135.7347132","枚方市宗谷２丁目２９−１","464.18","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","○"
"100","尊延寺公園","34.80011737","135.7281665","枚方市尊延寺５丁目４５−９","935.63","0.094","","1","","","1","","1","","","","","","","1","","","","","1","13","1","","","","","","","","","","","",""
"101","空見の丘公園","34.80397124","135.7118159","枚方市津田山手２丁目２−２０","10400.06","1.04","○","","","","","","","","","","","","","","","","","","1","6","2","","","8","12","0","0","0","16","1","37","","○"
"102","代々池公園","34.80927752","135.6941401","枚方市野村中町２５−１６","1723.57","0.172","","","","1","2","","","","","","","1","","1","","","","","1","3","","","","5","0","0","0","0","0","0","5","",""
"103","高塚町北公園","34.80736327","135.6427766","枚方市高塚町２１−２７","856.76","0.086","","","","","","","","","","","","","","","","","","","1","4","","","","8","0","0","0","0","0","0","8","",""
"104","高塚町中央公園","34.80652272","135.643109","枚方市高塚町２１−２０","896.85","0.09","","1","","","","","","","","","","","1","","","","","","1","3","","","","0","0","0","0","0","6","0","6","",""
"105","津田駅前東公園","34.80028181","135.6994434","枚方市津田駅前２丁目２５−５","2821.82","0.282","","","","","","","","","","","","","1","","","6","","","1","11","1","","","0","0","0","1","0","2","2","5","エドヒガン",""
"106","津田南町西公園","34.80024883","135.7021834","枚方市津田南町１丁目２１−１０","622.09","0.062","","1","","","1","","","","","","","","","1","","","","","1","4","","","","0","0","0","0","0","0","2","2","エドヒガン",""
"107","津田南町東公園","34.7998359","135.7054686","枚方市津田南町１丁目３６−３","556","0.056","","1","","","1","","1","","","","","","","1","","","1","","1","5","","","","5","0","0","0","0","0","0","5","",""
