NO,名　　　　称,緯度,経度,所在地,面積（㎡）,面積（ha）,一時緊急　　　避難地,ブランコ _2連 ,ブランコ_3連,ブランコ_4連,スベリ台,低鉄棒_１連,低鉄棒_２連,低鉄棒_３連,低鉄棒_４連,低鉄棒_５連,シーソー,ジャングルジム,複合遊具_鋼製,砂場,ラダー,健康遊具,ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ,便所,水飲,ベンチ,四阿・ｼｪﾙﾀｰ,駐車場有料施設専用,駐車場,桜_ソメイヨシノ,桜_オオシマザクラ,桜_カンヒザクラ,桜_シダレザクラ,桜_カワズザクラ　,桜_ヤマザクラ,桜_その他,桜_合計,桜_その他品種,景色の良い公園
63,高野道南公園,34.84846889,135.6992095,高野道２丁目地内,"2,039.18",0.204,,1,,,2,,1,,,,,2,,1,,,,1,2,13,,,,,,,,,,,,,
64,高野道公園,34.8508206,135.7018691,高野道２丁目地内,579.65,0.058,,,,,1,,,1,,,,,,1,,,,,1,2,,,,0,0,0,0,0,0,6,6,ヤエザクラ,
65,香陽北公園,34.78756643,135.653107,香里ヶ丘１１丁目地内,"1,125.48",0.113,,,,,1,,,1,,,,1,,1,,,,,,3,,,,,,,,,,,,,
66,香陽公園,34.78599648,135.6513289,香里ヶ丘１１丁目地内,784.28,0.078,,,,,1,,,1,,,,1,,1,,,,,,4,,,,3,0,0,0,0,0,0,3,,
67,香里ヶ丘中央公園,34.79140629,135.6522528,香里ヶ丘４丁目地内,"26,192.00",2.619,○,,,,1,,,,,,,,,1,,,,1,1,27,1,1,,48,0,0,0,0,0,0,48,ｴﾄﾞﾋｶﾞﾝ・ﾊｸｻﾝｵｵﾃﾞﾏﾘ,
68,香里ヶ丘西公園,34.79306705,135.6463783,香里ヶ丘７丁目地内,"9,495.39",0.95,,1,,1,1,,,1,,,,,,1,1,,,,1,9,,,,20,0,0,0,0,0,0,20,,
69,香里ヶ丘東公園,34.79070928,135.6572884,香里ヶ丘３丁目地内,"11,408.22",1.141,○,,,,,,,1,,,,,,,,,,,,4,,,,16,0,0,0,0,0,0,16,ｺｳﾖｳ・ﾊｸｻﾝｵｵﾃﾞﾏﾘ,
70,香里ヶ丘南公園,34.7860374,135.6453645,香里ヶ丘１０丁目地内,"19,830.50",1.983,,,,1,1,,,1,,,1,1,,,,,,,1,4,,,,53,0,0,0,0,0,0,53,,
71,香里の森公園,34.7890981,135.6375818,香里園山之手町地内,"5,190.81",0.519,,1,,,1,,1,,,,,,,1,,,,1,2,8,2,,,25,0,0,0,0,0,0,25,,
72,香里ヒルズ北公園,34.79756719,135.636241,東中振２丁目地内,"1,257.67",0.126,,,,,1,,,,,,,1,,1,,,,,1,4,,,,,,,,,,,,,
73,香里ヒルズ中央公園,34.79466593,135.6402977,東中振２丁目地内,"2,068.61",0.207,,,,1,1,,,1,,,,,,1,,,,,1,6,1,,,,,,,,,,,,
74,五常公園,34.79855533,135.6464949,香里ヶ丘６丁目,"3,097.60",0.31,,,,,1,,,1,,,,,1,1,,,,,1,5,,,,9,0,0,0,0,0,0,9,,
75,御殿山公園,34.82943287,135.6565378,渚本町,702.7,0.07,,,,1,1,,,,,,,,,1,,,,,1,3,,,,10,0,0,0,0,0,0,10,,
76,阪今池公園,34.83978437,135.6646785,黄金野１丁目,"18,854.47",1.885,○,,,,1,,,,,,,,1,1,,,,1,1,16,,,,15,0,0,0,0,0,0,15,,
77,桜丘公園,34.8057919,135.6682901,桜丘町,635.53,0.064,,,,,1,,,,,,,,,1,,,,,1,3,1,,,3,0,0,0,0,4,0,7,,
78,桜公園,34.79434208,135.6536442,香里ヶ丘２丁目,"6,414.12",0.641,,,,,,,1,,,,,1,1,1,,,,,1,10,4,,,56,0,0,0,0,0,0,56,,
79,笹谷公園,34.84139938,135.7083187,長尾家具町２丁目,"6,360.82",0.636,,1,,,1,,,,,,1,1,,1,,,,1,1,7,,,,7,0,0,0,0,4,0,11,,
80,さだ山公園,34.79091432,135.6438264,香里ヶ丘８丁目,"4,137.83",0.414,,,,1,1,,,1,,,,1,,1,,,,,1,10,,,,5,0,0,2,0,0,0,7,,
81,さつき丘北公園,34.80355485,135.6479253,山之上西町,"3,056.78",0.306,,,,1,1,,,,,,1,1,,1,,,,,1,7,,,,22,0,0,0,0,0,0,22,ヤエザクラ,
82,さつき丘中央公園,34.80176061,135.6485058,山之上西町,"1,104.97",0.11,,,1,,1,,,,,,,,,1,,,,,1,7,,,,1,0,0,0,0,0,0,1,,
83,さつき丘南公園,34.80006351,135.6472115,山之上西町５丁目,"1,511.50",0.151,,,,,,,,,,,,,1,1,,,,,1,5,,,,9,0,0,0,0,0,0,9,,
84,獅子口公園,34.83659713,135.706208,長尾家具町４丁目,"3,346.51",0.335,,,,1,1,,,,,,,1,,1,,,2,1,1,4,,,,9,0,0,0,0,0,0,9,,
85,市民の森,34.8654391,135.6898442,楠葉丘２丁目,"28,315.00",2.832,○,,,,,,1,,,,,,1,1,,,,2,1,17,1,,2,50,1,0,0,0,0,3,54,"サトザクラ,アウズミ桜",
86,下田公園,34.85695536,135.6800293,楠葉並木１丁目,"1,038.10",0.104,,1,,,,,,,,,,,,1,,,,1,,2,,,,2,0,0,0,0,0,0,2,,
87,神社公園,34.86709112,135.6896299,楠葉丘２丁目,"1,127.47",0.113,,,,,,,,,,,,,,,,,,1,,3,,,,17,0,0,0,0,0,0,17,,
88,翠香園ふれあい公園,34.79981071,135.6367234,翠香園町,"6,809.94",0.681,,1,,,1,,1,,,,,,1,1,1,1,,1,2,14,2,,,12,0,0,0,0,0,1,13,,
89,スーパーバンク伊加賀公園,34.80742762,135.6241999,伊加賀西町,"1,640.00",0.164,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,
90,末広公園,34.79405582,135.6442479,香里ヶ丘８丁目,"2,860.69",0.286,,1,,,1,,,,,,,1,,1,,,,,1,2,,,,2,0,4,0,0,0,3,9,ﾊｸｻﾝｵｵﾃﾞﾏﾘ,
91,杉山手北公園,34.8163286,135.7243308,杉山手３丁目,807.96,0.081,,1,,,1,,,,,,1,,,,,,,,,12,,,,2,0,0,0,0,0,0,2,,
