"id","name","name_kana","address","area","area_ha","y","x","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","鋼製複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿(シェルター)","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery","english_name","english_address","",""
"045","北谷川緑地","キタタニガワリョクチ","大阪府枚方市長尾谷町3丁目10−1","3,720.20","0.37","34.82384639","135.7012825","","","","","","","","","","","","","","","","","","","","3","1","","","11","0","0","0","0","0","0","11","","","","","573-0164","オオサカフ－ヒラカタシ－ナガオタニマチ"
"046","北谷公園","キタダニコウエン","大阪府枚方市香里ケ丘7丁目2−3","4,302.33","0.43","34.79501403","135.6474448","","","","","","","","","","","","","","","","","","","","5","","","","5","0","0","0","0","0","0","5","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"047","北山公園","キタヤマコウエン","大阪府枚方市長尾家具町1丁目2−12","20,103.74","2.01","34.84495691","135.7029991","○","1","","","1","","","","","","","","1","1","","","","1","3","16","","","","27","0","0","0","0","0","0","27","ヤエアケボノ・ハクサンオオデマリ","","","","573-0102","オオサカフ－ヒラカタシ－ナガオカグマチ"
"048","北山中央公園","キタヤマチュウオウコウエン","大阪府枚方市北山1丁目32−10","2,549.79","0.25","34.84104839","135.7023279","","","","","","","","","","","","","1","1","","","","","1","8","1","","","0","0","0","0","0","1","0","1","","","","","573-0171","オオサカフ－ヒラカタシ－キタヤマ"
"049","北山南公園","キタヤマミナミコウエン","大阪府枚方市北山1丁目62−8","2,500.24","0.25","34.83734722","135.6996198","","","","","2","","","","","","","","","","","","","","1","1","1","","","0","0","0","0","0","0","5","5","","","","","573-0171","オオサカフ－ヒラカタシ－キタヤマ"
"050","鏡伝池緑地（市民の森）","キョウデンイケリョクチ（シミンノモリ）","大阪府枚方市楠葉丘2丁目10−1","28,315.00","2.83","34.8654391","135.6898442","○","","","","","","1","","","","","","1","1","","","","2","1","17","1","","2","50","1","0","0","0","0","3","54","サトザクラ，淡墨桜","","","","573-1104","オオサカフ－ヒラカタシ－クズハオカ"
"051","禁野車塚公園","キンヤクルマヅカコウエン","大阪府枚方市宮之阪5丁目3−14","5,212.17","0.52","34.81087654","135.656891","","","","","","","","","","","","","1","1","","","","","","4","1","","","","","","","","","","","","","","","573-0022","オオサカフ－ヒラカタシ－ミヤノサカ"
"052","禁野本町遺跡公園","キンヤホンマチイセキコウエン","大阪府枚方市中宮北町13−20","500.15","0.05","34.82163761","135.6606988","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","573-1194","オオサカフ－ヒラカタシ－ナカミヤキタマチ"
"053","九頭神廃寺史跡公園","クズカミハイジシセキコウエン","大阪府枚方市牧野本町1丁目32−2","1,274.22","0.13","34.83940176","135.6727707","","","","","","","","","","","","","1","","","2","","","","2","1","","","0","0","2","1","0","0","0","3","","","","","573-1144","オオサカフ－ヒラカタシ－マキノホンマチ"
"054","楠葉中央公園","クズハチュウオウコウエン","大阪府枚方市楠葉並木2丁目15−3","10,650.80","1.07","34.85941359","135.6807459","○","1","","","","","","","","","","","","1","","","","1","1","49","","","","53","0","0","0","0","0","3","56","ヤエザクラ・ハクサンオオデマレ","","","","573-1118","オオサカフ－ヒラカタシ－クズハナミキ"
