"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"88","翠香園ふれあい公園","34.79981071","135.6367234","大阪府枚方市翠香園町8−5","6809.94","0.681","","1","","","1","","1","","","","","","1","1","1","1","","1","2","14","2","","","12","0","0","0","0","0","1","13","",""
"89","スーパーバンク伊加賀公園","34.80742762","135.6241999","大阪府枚方市伊加賀西町1−1","1640.00","0.164","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","",""
"90","末広公園","34.79405582","135.6442479","大阪府枚方市香里ケ丘8丁目11−31","2860.69","0.286","","1","","","1","","","","","","","1","","1","","","","","1","2","","","","2","0","4","0","0","0","3","9","ハクサンオオデマリ",""
"91","杉山手北公園","34.8163286","135.7243308","大阪府枚方市杉山手3丁目32−16","807.96","0.081","","1","","","1","","","","","","1","","","","","","","","","12","","","","2","0","0","0","0","0","0","2","",""
"92","杉山手中央公園","34.81548027","135.7230984","大阪府枚方市杉山手3丁目36−39","1406.66","0.141","","","","","","","1","","","","","","1","","","","","","1","3","","","","","","","","","","","","",""
"93","杉山手西公園","34.81884722","135.7219993","大阪府枚方市杉山手1丁目32−1","944.31","0.094","","1","","","1","","","","","","","","","1","1","","","","1","3","","","","","","","","","","","","",""
"94","杉山手南公園","34.81460602","135.7224329","大阪府枚方市杉山手3丁目15−16","1500.00","0.15","","","","1","1","","","","","","","1","","1","1","","","","1","11","","","","4","0","0","0","0","0","0","4","",""
"95","須山中央公園","34.82151374","135.67175","大阪府枚方市須山町18−15","909.78","0.091","","","","1","1","","","","","","","","","1","","","","","1","5","","","","14","0","0","0","0","0","0","14","",""
"96","須山公園","34.82152014","135.6717505","大阪府枚方市須山町18−15","1201.22","0.12","","2","","","1","","","1","","","","1","","","1","","","","1","5","","","","0","0","0","0","1","0","0","1","",""
"97","創造の森","34.79046992","135.6370984","大阪府枚方市香里園山之手町49−5","4584.11","0.458","","","","","","","","","","","","","","","","","","","","2","","","","10","0","0","1","0","0","0","11","",""
"98","宗谷公園","34.79770293","135.7369251","大阪府枚方市宗谷2丁目17−9","1141.75","0.114","","","","","1","","1","","","","","","","1","","","1","","1","9","","","","","","","","","","","","",""
"99","宗谷・穂谷防災公園","34.79588538","135.7347132","大阪府枚方市宗谷2丁目29−1","464.18","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","○"
"100","尊延寺公園","34.80011737","135.7281665","大阪府枚方市尊延寺5丁目45−9","935.63","0.094","","1","","","1","","1","","","","","","","1","","","","","1","13","1","","","","","","","","","","","",""
"101","空見の丘公園","34.80397124","135.7118159","大阪府枚方市津田山手2丁目2−20","10400.06","1.04","○","","","","","","","","","","","","","","","","","","1","6","2","","","8","12","0","0","0","16","1","37","","○"
"102","代々池公園","34.80927752","135.6941401","大阪府枚方市野村中町25−16","1723.57","0.172","","","","1","2","","","","","","","1","","1","","","","","1","3","","","","5","0","0","0","0","0","0","5","",""
